Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
,System,Audit Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit PNP Activity,{0CCE9248-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},Failure,,2
,System,Audit Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Failure,,2
,System,Audit Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},Failure,,2
,System,Audit File Share,{0CCE9224-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},Failure,,2
,System,Audit Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
,System,Audit Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},Success,,1
,System,Audit System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
