Id,Level,Assessment,Section,Title,RecommendedState,Mechanism,RegistryKey,RegistryValue,Notes
1.1.1,L1,Automated,1,"Ensure 'Enforce password history' is set to '24 or more password(s)'","24 or more password(s)",INF [System Access],"","",""
1.1.2,L1,Automated,1,"Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'","365 or fewer days, but not 0",INF [System Access],"","",""
1.1.3,L1,Automated,1,"Ensure 'Minimum password age' is set to '1 or more day(s)'","1 or more day(s)",INF [System Access],"","",""
1.1.4,L1,Automated,1,"Ensure 'Minimum password length' is set to '14 or more character(s)'","14 or more character(s)",INF [System Access],"","",""
1.1.5,L1,Automated,1,"Ensure 'Password must meet complexity requirements' is set to 'Enabled'","Enabled",INF [System Access],"","",""
1.1.6,L1,Automated,1,"Ensure 'Relax minimum password length limits' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\System\CurrentControlSet\Control\SAM","RelaxMinimumPasswordLengthLimits","agreed"
1.1.7,L1,Automated,1,"Ensure 'Store passwords using reversible encryption' is set to 'Disabled'","Disabled",INF [System Access],"","",""
1.2.1,L1,Automated,1,"Ensure 'Account lockout duration' is set to '15 or more minute(s)'","15 or more minute(s)",INF [System Access],"","",""
1.2.2,L1,Automated,1,"Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'","5 or fewer invalid logon attempt(s), but not 0",INF [System Access],"","",""
1.2.3,L1,Manual,1,"Ensure 'Allow Administrator account lockout' is set to 'Enabled'","Enabled",INF [System Access],"","",""
1.2.4,L1,Automated,1,"Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'","15 or more minute(s)",INF [System Access],"","",""
2.2.1,L1,Automated,2,"Ensure 'Access Credential Manager as a trusted caller' is set to 'No One'","No One",INF [Privilege Rights],"","",""
2.2.2,L1,Automated,2,"Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users'","Administrators, Authenticated Users",INF [Privilege Rights],"","",""
2.2.3,L1,Automated,2,"Ensure 'Act as part of the operating system' is set to 'No One'","No One",INF [Privilege Rights],"","",""
2.2.4,L1,Automated,2,"Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'","Administrators, LOCAL SERVICE, NETWORK SERVICE",INF [Privilege Rights],"","",""
2.2.5,L1,Automated,2,"Ensure 'Allow log on locally' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.6,L1,Automated,2,"Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users'","Administrators, Remote Desktop Users",INF [Privilege Rights],"","",""
2.2.7,L1,Automated,2,"Ensure 'Back up files and directories' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.8,L1,Automated,2,"Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE'","Administrators, LOCAL SERVICE",INF [Privilege Rights],"","",""
2.2.9,L1,Automated,2,"Ensure 'Change the time zone' is set to 'Administrators, LOCAL SERVICE'","Administrators, LOCAL SERVICE",INF [Privilege Rights],"","",""
2.2.10,L1,Automated,2,"Ensure 'Create a pagefile' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.11,L1,Automated,2,"Ensure 'Create a token object' is set to 'No One'","No One",INF [Privilege Rights],"","",""
2.2.12,L1,Automated,2,"Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'","Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE",INF [Privilege Rights],"","",""
2.2.13,L1,Automated,2,"Ensure 'Create permanent shared objects' is set to 'No One'","No One",INF [Privilege Rights],"","",""
2.2.14,L1,Automated,2,"Ensure 'Create symbolic links' is set to 'Administrators, NT VIRTUAL MACHINE\Virtual Machines'","Administrators and (when the Hyper-V Role is installed) NT VIRTUAL MACHINE\Virtual Machines",INF [Privilege Rights],"","",""
2.2.15,L1,Automated,2,"Ensure 'Debug programs' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.16,L1,Automated,2,"Ensure 'Deny access to this computer from the network' to include 'Guests'","Guests",INF [Privilege Rights],"","",""
2.2.17,L1,Automated,2,"Ensure 'Deny log on as a batch job' to include 'Guests'","Guests",INF [Privilege Rights],"","",""
2.2.18,L1,Automated,2,"Ensure 'Deny log on as a service' to include 'Guests'","Guests",INF [Privilege Rights],"","",""
2.2.19,L1,Automated,2,"Ensure 'Deny log on locally' to include 'Guests'","Guests",INF [Privilege Rights],"","",""
2.2.20,L1,Automated,2,"Ensure 'Deny log on through Remote Desktop Services' is set to 'Guests'","Guests",INF [Privilege Rights],"","",""
2.2.21,L1,Automated,2,"Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'No One'","No One",INF [Privilege Rights],"","",""
2.2.22,L1,Automated,2,"Ensure 'Force shutdown from a remote system' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.23,L1,Automated,2,"Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE'","LOCAL SERVICE, NETWORK SERVICE",INF [Privilege Rights],"","",""
2.2.24,L1,Automated,2,"Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' and (when the Web Server (IIS) Role with Web Services Role Service is installed) 'IIS_IUSRS'","Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE and (when the Web Server (IIS) Role with Web Services Role Service is installed) IIS_IUSRS",INF [Privilege Rights],"","",""
2.2.25,L1,Automated,2,"Ensure 'Increase scheduling priority' is set to 'Administrators, Window Manager\Window Manager Group'","Administrators, Window Manager\Window Manager Group",INF [Privilege Rights],"","",""
2.2.26,L1,Automated,2,"Ensure 'Load and unload device drivers' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.27,L1,Automated,2,"Ensure 'Lock pages in memory' is set to 'No One'","No One",INF [Privilege Rights],"","",""
2.2.28,L1,Automated,2,"Ensure 'Manage auditing and security log' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.29,L1,Automated,2,"Ensure 'Modify an object label' is set to 'No One'","No One",INF [Privilege Rights],"","",""
2.2.30,L1,Automated,2,"Ensure 'Modify firmware environment values' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.31,L1,Automated,2,"Ensure 'Perform volume maintenance tasks' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.32,L1,Automated,2,"Ensure 'Profile single process' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.33,L1,Automated,2,"Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\WdiServiceHost'","Administrators, NT SERVICE\WdiServiceHost",INF [Privilege Rights],"","",""
2.2.34,L1,Automated,2,"Ensure 'Replace a process level token' is set to 'LOCAL SERVICE, NETWORK SERVICE'","LOCAL SERVICE, NETWORK SERVICE",INF [Privilege Rights],"","",""
2.2.35,L1,Automated,2,"Ensure 'Restore files and directories' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.36,L1,Automated,2,"Ensure 'Shut down the system' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.2.37,L1,Automated,2,"Ensure 'Take ownership of files or other objects' is set to 'Administrators'","Administrators",INF [Privilege Rights],"","",""
2.3.1.1,L1,Automated,2,"Ensure 'Accounts: Guest account status' is set to 'Disabled'","Disabled",INF [System Access],"","",""
2.3.1.2,L1,Automated,2,"Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Lsa","LimitBlankPasswordUse","agreed"
2.3.1.3,L1,Automated,2,"Configure 'Accounts: Rename administrator account'","",INF [System Access],"","",""
2.3.1.4,L1,Automated,2,"Configure 'Accounts: Rename guest account'","",INF [System Access],"","",""
2.3.2.1,L1,Automated,2,"Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Lsa","SCENoApplyLegacyAuditPolicy","agreed"
2.3.2.2,L1,Automated,2,"Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled'","Disabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Lsa","CrashOnAuditFail","agreed"
2.3.4.1,L1,Automated,2,"Ensure 'Devices: Prevent users from installing printer drivers' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers","AddPrinterDrivers","resolved:raw"
2.3.7.1,L1,Automated,2,"Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled'","Disabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","DisableCAD","agreed"
2.3.7.2,L1,Automated,2,"Ensure 'Interactive logon: Don't display last signed-in' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","DontDisplayLastUserName","agreed"
2.3.7.3,L1,Automated,2,"Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0'","900 or fewer second(s), but not 0",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","InactivityTimeoutSecs","agreed"
2.3.7.4,L1,Automated,2,"Configure 'Interactive logon: Message text for users attempting to log on'","",NEEDS REVIEW,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LegalNoticeText","agreed"
2.3.7.5,L1,Automated,2,"Configure 'Interactive logon: Message title for users attempting to log on'","",NEEDS REVIEW,"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LegalNoticeCaption","agreed"
2.3.7.6,L1,Automated,2,"Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days'","between 5 and 14 days",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","PasswordExpiryWarning","resolved:raw"
2.3.7.7,L1,Automated,2,"Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher","Lock Workstation",INF [Registry Values],"HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","ScRemoveOption","resolved:raw"
2.3.8.1,L1,Automated,2,"Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters","RequireSecuritySignature","agreed"
2.3.8.2,L1,Automated,2,"Ensure 'Microsoft network client: Digitally sign communications (if server agrees)' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters","EnableSecuritySignature","agreed"
2.3.8.3,L1,Automated,2,"Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled'","Disabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters","EnablePlainTextPassword","agreed"
2.3.9.1,L1,Automated,2,"Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)'","15 or fewer minute(s)",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","AutoDisconnect","agreed"
2.3.9.2,L1,Automated,2,"Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","RequireSecuritySignature","agreed"
2.3.9.3,L1,Automated,2,"Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","EnableSecuritySignature","agreed"
2.3.9.4,L1,Automated,2,"Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","enableforcedlogoff","agreed"
2.3.9.5,L1,Automated,2,"Ensure 'Microsoft network server: Server SPN target name validation level' is set to 'Accept if provided by client' or higher","Accept if provided by client",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","SMBServerNameHardeningLevel","agreed"
2.3.10.1,L1,Automated,2,"Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled'","Disabled",INF [System Access],"HKLM\System\CurrentControlSet\Control\Lsa","TurnOffAnonymousBlock","agreed"
2.3.10.2,L1,Automated,2,"Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Lsa","RestrictAnonymousSAM","agreed"
2.3.10.3,L1,Automated,2,"Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled'","Enabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Lsa","RestrictAnonymous","agreed"
2.3.10.5,L1,Automated,2,"Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled'","Disabled",INF [Registry Values],"HKLM\SYSTEM\CurrentControlSet\Control\Lsa","EveryoneIncludesAnonymous","agreed"
2.3.10.6,L1,Automated,2,"Ensure 'Network access: Named Pipes that can be accessed anonymously' is configured","<blank> (i.e",NEEDS REVIEW,"HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","NullSessionPipes","agreed"
2.3.10.7,L1,Automated,2,"Ensure 'Network access: Remotely accessible registry paths' is configured","System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion",NEEDS REVIEW,"HKLM\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\ AllowedExactPaths","Machine","resolved:raw(real-space)"
